*************Target variables in total: 40*************
Number of Fault Insertions: 487
Number of Faulty Executions: 427
,variable_name,max_risk_diff,quantile1,quantile2
6,y_0,1.0,0,4
16,dd_1,0.7757757757757757,0,1
12,d_1,0.7567567567567567,9,2
14,temp_3,0.7537537537537538,9,2
15,temp_0,0.7537537537537538,0,1
5,y2_0,0.7467467467467468,0,5
26,seps_1,0.6890243902439024,7,9
0,y_2,0.642,2,7
30,sqrty_0,0.5306532663316583,2,6
18,cy_0,0.5276381909547738,1,7
23,abs_sum_0,0.4904522613065327,1,8
27,z_0,0.42613065326633165,7,2
22,ceps_1,0.36585365853658536,1,4
11,d_4,0.3373373373373373,9,8
24,sy_0,0.21206030150753769,3,1
25,d_5,0.1648241206030151,3,9
20,result_val_0,0.14673366834170853,1,9
31,result_val_2,0.1407035175879397,1,8
19,s_0,0.11658291457286432,1,9
39,seps_0,0.06859205776173286,1,0
9,e_1,0.06406406406406409,9,1
35,ampl_0,0.043216080402010026,0,9
8,e_4,0.013013013013013053,0,1
2,result_err_7,0.0,0,0
38,ceps_0,0.0,0,0
37,e2_0,0.0,0,0
36,stat_ca_0,0.0,0,0
34,result_err_8,0.0,0,0
33,result_err_9,0.0,0,0
32,result_err_10,0.0,0,0
17,dd_0,0.0,0,0
29,stat_cp_0,0.0,0,0
13,d_0,0.0,0,0
3,fn_1,0.0,0,0
4,status_0,0.0,0,0
7,result_err_0,0.0,0,0
10,e_0,0.0,0,0
21,result_err_1,0.0,0,0
1,result_val_1,0.0,0,0
28,stat_ct_0,0.0,0,0
